id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,color,quality,date_added
2406,7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,white,neutral,2023-10-26
2682,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,red,neutral,2022-03-06
2735,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,white,neutral,2022-04-19
4205,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,red,neutral,2023-09-18
4743,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,red,neutral,2022-08-21
4804,7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,red,neutral,2024-11-26
9,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,white,neutral,2023-07-13
10,6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,white,neutral,2022-08-30
11,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,white,slightly dissatisfied,2024-07-10
12,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,white,neutral,2024-03-25
13,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,white,slightly dissatisfied,2024-01-21
14,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,white,neutral,2022-05-31
15,5.7,0.26,0.27,4.1,0.201,74,190,0.9942,3.27,0.38,9.4,white,neutral,2024-03-16
16,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,red,slightly dissatisfied,2023-08-04
17,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,red,neutral,2024-04-09
18,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,white,neutral,2023-10-24
19,6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,white,neutral,2024-11-23
20,6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8,red,neutral,2024-03-15
21,7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,white,slightly dissatisfied,2023-03-01
22,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,white,neutral,2024-05-13
23,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,white,moderately satisfied,2024-11-28
24,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,white,neutral,2022-01-06
25,8.1,0.26,0.33,11.1,0.052,53,158,0.9976,3.03,0.49,10.2,white,slightly satisfied,2022-10-04
26,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,white,neutral,2023-07-03
27,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,red,moderately dissatisfied,2022-05-07
28,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,white,neutral,2022-01-16
29,7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,white,neutral,2023-06-09
30,6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,white,neutral,2023-05-29
31,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,white,neutral,2022-05-23
32,6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,white,neutral,2023-08-10
33,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,white,neutral,2022-08-20
34,6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,white,slightly dissatisfied,2024-10-13
35,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,white,neutral,2024-03-15
36,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,white,neutral,2024-09-18
37,8.2,0.92,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,red,moderately dissatisfied,2023-02-07
38,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,white,neutral,2024-07-21
39,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,white,neutral,2022-03-04
40,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,red,neutral,2022-03-07
41,6.2,0.3,0.2,6.6,0.045,42,170,0.9944,3.36,0.45,10.4,white,neutral,2022-04-13
42,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,white,neutral,2024-08-04
43,6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,white,slightly satisfied,2023-01-23
44,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,white,slightly dissatisfied,2022-11-16
45,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,red,slightly dissatisfied,2023-07-13
46,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,white,slightly dissatisfied,2023-01-28
47,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,white,slightly satisfied,2022-12-19
48,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,red,slightly dissatisfied,2023-05-08
49,9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,white,neutral,2023-03-25
50,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,red,slightly satisfied,2024-01-17
51,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,white,neutral,2022-12-03
52,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,white,neutral,2023-03-10
53,7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,red,neutral,2023-05-06
54,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,red,neutral,2022-12-23
55,7,0.69,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,red,slightly dissatisfied,2023-08-06
56,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,red,slightly dissatisfied,2023-01-03
57,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,white,slightly dissatisfied,2023-06-29
58,7,0.17,0.33,4,0.034,17,127,0.9934,3.19,0.39,10.6,white,slightly satisfied,2023-04-11
59,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,white,slightly dissatisfied,2022-04-15
